intent,text,response
Greeting,"Merhaba","Merhaba! Size nasıl yardımcı olabilirim?"
Greeting,"Selam","Merhaba! Bugün ne pişirmek istersiniz?"
Greeting,"Günaydın","Günaydın! Size lezzetli tarifler önerebilirim."
Greeting,"İyi günler","İyi günler! Size yemek tarifleri konusunda yardımcı olmaktan mutluluk duyarım."
Goodbye,"Hoşça kal","Afiyet olsun! Tekrar görüşmek üzere."
Goodbye,"Güle güle","İyi günler! Başka tarifler için yine beklerim."
Goodbye,"Görüşürüz","Görüşürüz! Umarım tariflerimiz işinize yarar."
Goodbye,"İyi günler dilerim","İyi günler dilerim! Tekrar bekleriz."
Goodbye,"Teşekkürler","Rica ederim! Başka bir tarifle yardımcı olabilirim."
Goodbye,"Bay bay","Bay bay! Mutfakta keyifli vakitler."
Thanks,"Teşekkür ederim","Rica ederim! Başka tariflerde yardımcı olabilirim."
Thanks,"Sağol","Ne demek! Afiyet olsun."
Thanks,"Çok teşekkürler","Rica ederim! Tarifi beğenmenize sevindim."
Thanks,"Yardımın için teşekkürler","Rica ederim! Başka sorularınız olursa yardımcı olmaktan mutluluk duyarım."
Thanks,"Eyvallah","Ne demek! İyi pişirmeler dilerim."
Goodbye,"Allahaısmarladık","Hoşça kalın! Afiyet olsun."
Thanks,"Teşekkürler","Rica ederim! Afiyet olsun."
Thanks,"Teşekkür ederim","Ne demek rica ederim! Başka bir konuda yardıma ihtiyacınız olursa sormaktan çekinmeyin."
Thanks,"Sağol","Sağlıcakla kalın! Afiyet olsun."
GetRecipe,"Karnıyarık tarifi verir misin","Karnıyarık tarifi için malzemeler ve yapılışı şöyle:,Malzemeler: 6 adet patlıcan, 300g kıyma, 2 adet soğan, 2 adet domates, 2 adet sivri biber, 2 diş sarımsak, tuz, karabiber, pul biber, sıvı yağ. Yapılışı: Patlıcanları alacalı soyup tuzlu suda bekletin. Kıymayı soğan ve sarımsakla kavurun. Domates ve biberleri ekleyip pişirin. Patlıcanları kızartın, ortalarını yarıp içlerine kıymalı harçtan koyun. 180 derece fırında 20-25 dakika pişirin."
GetRecipe,"Pizza Margherita tarifi verir misin","Pizza Margherita tarifi için malzemeler ve yapılışı şöyle:,Malzemeler: Pizza hamuru, domates sosu, mozarella peyniri, fesleğen, zeytinyağı. Yapılışı: Hamuru açın, domates sosu sürün, mozarella peyniri ekleyin. 220 derece fırında 15-20 dakika pişirin. Fesleğen ve zeytinyağı ile servis edin."
GetRecipe,Sushi Roll tarifi verir misin,"Sushi Roll tarifi için malzemeler ve yapılışı şöyle:,Malzemeler: 2 su bardağı sushi pirinci, 4 yaprak nori, 200g somon, 1 avokado, 1 salatalık, wasabi, soya sosu. Yapılışı: Pirinci pişirin ve sirkeli su ile karıştırın. Nori üzerine pirinç yayın, somon, avokado ve salatalık ekleyin. Rulo yapıp dilimleyin. Wasabi ve soya sosu ile servis edin."
GetRecipe,Pad Thai tarifi verir misin,"Pad Thai tarifi için malzemeler ve yapılışı şöyle:,Malzemeler: Pirinç eriştesi, tofu, karides, fıstık, limon, balık sosu, tamarind sosu. Yapılışı: Erişteyi haşlayın. Tofu ve karidesi pişirin. Sosları karıştırın ve erişteyle birleştirin. Üzerine fıstık serpin ve limon ile servis edin."
GetRecipe,Ratatouille tarifi verir misin,"Ratatouille tarifi için malzemeler ve yapılışı şöyle:,Malzemeler: Patlıcan, kabak, biber, domates, soğan, sarımsak, zeytinyağı, kekik. Yapılışı: Sebzeleri büyük parçalar halinde doğrayın. Zeytinyağında kısık ateşte pişirin. Taze otlar ekleyin ve servis edin."
GetRecipe,Paella tarifi verir misin,"Paella tarifi için malzemeler ve yapılışı şöyle:,Malzemeler: Pirinç, safran, tavuk, deniz ürünleri, sebzeler, zeytinyağı. Yapılışı: Safranlı pirinci, tavuk ve deniz ürünleriyle pişirin. Sebzeleri ekleyin ve servis edin."
GetRecipe,Moussaka tarifi verir misin,"Moussaka tarifi için malzemeler ve yapılışı şöyle:,Malzemeler: Patlıcan, kıyma, beşamel sos, kaşar peyniri, domates sosu. Yapılışı: Patlıcanları kızartın. Kıymalı harç hazırlayın. Kat kat dizin. Beşamel sos ve peynir ekleyip fırınlayın."
GetRecipe,Kung Pao Chicken tarifi verir misin,"Kung Pao Chicken tarifi için malzemeler ve yapılışı şöyle:,Malzemeler: Tavuk, fıstık, biber, soya sosu, susam yağı, zencefil. Yapılışı: Tavuğu doğrayın. Sosları karıştırın. Tavuk ve biberleri kavurun. Fıstık ekleyin ve servis edin."
GetRecipe,Pho tarifi verir misin,"Pho tarifi için malzemeler ve yapılışı şöyle:,Malzemeler: Et suyu, pirinç eriştesi, sığır eti, taze otlar, soğan, zencefil. Yapılışı: Et suyunu baharatlarla kaynatın. Erişteyi haşlayın. Üzerine et ve otları ekleyin."
GetRecipe,Bibimbap tarifi verir misin,"Bibimbap tarifi için malzemeler ve yapılışı şöyle:,Malzemeler: Pirinç, sebzeler, sığır eti, yumurta, gochujang sosu. Yapılışı: Pirinç üzerine sebzeleri ve eti dizin. Yumurta ve acı biber ezmesi ekleyin."
GetRecipe,Mantı nasıl yapılır,"Mantı tarifi için malzemeler ve yapılışı şöyle:,Malzemeler: 3 su bardağı un, 1 adet yumurta, 250g kıyma, 1 adet soğan, tuz, karabiber, pul biber, nane, sarımsaklı yoğurt. Yapılışı: Hamur için un, yumurta ve tuzu yoğurun. İnce açın ve küçük kareler kesin. İç harcı hazırlayıp karelerin içine koyun ve kapatın. Kaynar suda haşlayın. Üzerine sarımsaklı yoğurt ve kızdırılmış yağ dökün."
RecipeByIngredient,Dolabımda patates var ne yapabilirim,"Patates ile yapabileceğiniz lezzetli tarifler:,1. Patates Kızartması: Patatesleri julyen doğrayıp kızartın. Tuz ve baharatlarla servis edin. 2. Patates Püresi: Patatesleri haşlayıp süt ve tereyağı ile püre yapın. 3. Patates Köftesi: Haşlanmış patatesi ezip, soğan ve baharatlarla köfte şeklinde şekillendirip kızartın."
RecipeByIngredient,Dolabımda tavuk var ne yapabilirim,"Tavuk ile yapabileceğiniz lezzetli tarifler:,1. Tavuk Sote: Tavuk göğsünü kuşbaşı doğrayıp sebzelerle soteleyin. 2. Tavuk Çorbası: Tavuk suyu, şehriye ve tavuk eti ile besleyici bir çorba yapın. 3. Fırında Tavuk: Tavuk butlarını baharatlarla marine edip fırında pişirin."
RecipeByIngredientList,"Dolabımda patates soğan ve tavuk var ne yapabilirim","Malzemelerinizle yapabileceğiniz lezzetli tarifler:,1. Tavuklu Patates Güveci: Tavuk, patates ve soğanı doğrayıp baharatlarla fırında pişirin. 2. Tavuklu Patates Çorbası: Tavuk suyu, patates ve soğanla besleyici bir çorba yapın. 3. Tavuklu Patates Salatası: Haşlanmış patates, tavuk ve soğanı mayonez ile karıştırın."
RecipeByCategory,Ana yemek tarifleri verir misin,"İşte lezzetli ana yemek tarifleri:,1. Karnıyarık: Patlıcan, kıyma ve domatesle yapılan geleneksel bir yemek. 2. Tavuk Sote: Tavuk göğsü, sebzeler ve baharatlarla yapılan pratik bir yemek. 3. Mercimek Köftesi: Kırmızı mercimek, bulgur ve baharatlarla yapılan sağlıklı bir alternatif."
RecipeSuggestion,Bugün ne pişirsem,"Size özel yemek önerileri:,1. Sebzeli Makarna: Pratik ve lezzetli bir öğün. 2. Mercimek Çorbası: Besleyici ve doyurucu bir başlangıç. 3. Tavuklu Pilav: Tek kapta pişen doyurucu bir ana yemek. 4. Menemen: Kahvaltıda veya akşam yemeğinde yenebilecek doyurucu bir seçenek. 5. Kaşarlı Tost: Hızlı ve lezzetli bir öğün alternatifi. 6. Sucuklu Yumurta: Protein deposu, enerji veren bir seçenek."
RecipeTimeRequest,30 dakikada pişen yemekler nelerdir,"Hızlı pişen yemek tarifleri:,1. Omlet: 5 dakikada hazır, protein deposu bir kahvaltı. 2. Makarna: 15-20 dakikada hazır, pratik bir öğün. 3. Tavuk Sote: 25-30 dakikada hazır, lezzetli bir ana yemek."
RecipeDifficulty,Kolay yemek tarifleri verir misin,"İşte başlangıç seviyesi için kolay tarifler:,1. Omlet: Yumurta, süt ve baharatlarla yapılan temel bir tarif. 2. Makarna: Suda haşlanıp sos ile servis edilen pratik bir yemek. 3. Patates Püresi: Haşlanmış patates, süt ve tereyağı ile yapılan basit bir tarif."
DietFilter,Vejetaryen yemek tarifleri verir misin,"İşte lezzetli vejetaryen tarifler:,1. Mercimek Köftesi: Protein deposu, sağlıklı bir alternatif. 2. Sebzeli Makarna: Renkli sebzelerle zenginleştirilmiş bir öğün. 3. Patatesli Börek: Patates, soğan ve baharatlarla yapılan doyurucu bir börek."
Help,"Yardım alabilir miyim","Size nasıl yardımcı olabilirim? Şunları yapabilirim: 1. Yemek tarifleri önerebilirim 2. Malzemelere göre tarif bulabilirim 3. Kategorilere göre tarifler sunabilirim 4. Pişirme süresine göre tarifler önerebilirim."
AboutBot,"Sen kimsin","Ben bir yemek tarifi asistanıyım. Size lezzetli tarifler önerebilir, malzemelere göre yemek bulabilir ve yemek yapımı konusunda yardımcı olabilirim."
RandomRecipe,Rastgele bir tarif verir misin,"İşte sizin için seçtiğim lezzetli bir tarif:,Tavuklu Sebzeli Pilav: Malzemeler: 2 su bardağı pirinç, 300g tavuk göğsü, 1 adet soğan, 1 adet havuç, 1 adet kabak, tuz, karabiber, pul biber. Yapılışı: Tavuğu kuşbaşı doğrayıp pişirin. Sebzeleri küp küp doğrayıp tavukla birlikte soteleyin. Pirinci ekleyip suyunu çekene kadar pişirin."
SeasonalRecipe,Mevsimlik yemek tarifleri verir misin,"İşte mevsimine göre lezzetli tarifler:,Yaz için: 1. Kabak Mücveri: Taze kabak, yumurta ve baharatlarla yapılan lezzetli bir tarif. Kış için: 2. Mercimek Çorbası: Besleyici ve ısıtıcı bir çorba. İlkbahar için: 3. Enginar Yemeği: Taze enginarlarla yapılan geleneksel bir yemek. Sonbahar için: 4. Mantı: Soğuk havalarda içinizi ısıtacak bir tarif."
Reject,Bu tarifi istemiyorum,Başka bir tarif önereyim mi? Ya da farklı bir kategoriye bakmak ister misiniz?
Reject,"Beğenmedim","Üzgünüm, size daha farklı tarifler önerebilirim. Ne tür yemeklerden hoşlanırsınız?"
WorldCuisine,İtalyan mutfağından bir tarif verir misin,"İşte lezzetli İtalyan mutfağı tarifleri:,1. Spaghetti Carbonara: Malzemeler: 400g spaghetti, 200g pancetta, 4 yumurta, 100g parmesan peyniri, karabiber, tuz. Yapılışı: Spagettiyi haşlayın. Pancettayı kavurun. Yumurta ve peyniri çırpın. Makarnayı pancetta ile karıştırıp üzerine yumurtalı sosu ekleyin. Karabiber ile servis edin. 2. Margherita Pizza: Malzemeler: Pizza hamuru, domates sosu, mozarella peyniri, fesleğen, zeytinyağı. Yapılışı: Hamuru açın, domates sosu sürün, mozarella peyniri ekleyin. 220 derece fırında 15-20 dakika pişirin. Fesleğen ve zeytinyağı ile servis edin."
WorldCuisine,Türk mutfağından bir tarif verir misin,"İşte geleneksel Türk mutfağı tarifleri:,1. İskender Kebap: Malzemeler: 500g döner eti, 3 yemek kaşığı tereyağı, 2 su bardağı domates sosu, 2 su bardağı yoğurt, 4 pide ekmeği. Yapılışı: Pideleri küp küp doğrayın. Üzerine döner eti dizin. Domates sosu ve kızdırılmış tereyağı gezdirin. Yanında yoğurt ile servis edin. 2. Lahmacun: Malzemeler: 500g kıyma, 2 adet soğan, 2 adet domates, 2 adet biber, maydanoz, baharatlar, hamur. Yapılışı: Kıymalı harcı hazırlayın. Hamurları açıp üzerine harç yayın. 250 derece fırında 5-7 dakika pişirin."
WorldCuisine,Japon mutfağından bir tarif verir misin,"İşte lezzetli Japon mutfağı tarifleri:,1. Sushi Roll: Malzemeler: 2 su bardağı sushi pirinci, 4 yaprak nori, 200g somon, 1 avokado, 1 salatalık, wasabi, soya sosu. Yapılışı: Pirinci pişirin ve sirkeli su ile karıştırın. Nori üzerine pirinç yayın, somon, avokado ve salatalık ekleyin. Rulo yapıp dilimleyin. Wasabi ve soya sosu ile servis edin. 2. Miso Çorbası: Malzemeler: 4 su bardağı su, 2 yemek kaşığı miso paste, 100g tofu, 2 yemek kaşığı wakame yosunu, yeşil soğan. Yapılışı: Suyu kaynatın, miso paste ekleyin. Tofu ve wakame yosununu ekleyip 5 dakika pişirin. Yeşil soğan ile servis edin."
WorldCuisine,Meksika mutfağından bir tarif verir misin,"İşte lezzetli Meksika mutfağı tarifleri:,1. Tacos: Malzemeler: 8 adet taco ekmeği, 400g kıyma, 1 adet soğan, 2 adet domates, 1 avokado, 1 limon, acı sos, marul. Yapılışı: Kıymayı soğanla kavurun, baharatlayın. Domates, avokado ve marulu doğrayın. Taco ekmeklerini ısıtın, içine kıymalı harç ve sebzeleri koyun. Limon ve acı sos ile servis edin. 2. Guacamole: Malzemeler: 2 avokado, 1 adet soğan, 1 adet domates, 1 limon, kişniş, tuz. Yapılışı: Avokadoları ezin, soğan ve domatesi küp küp doğrayın. Tüm malzemeleri karıştırın, limon suyu ve tuz ekleyin."
WorldCuisine,Hint mutfağından bir tarif verir misin,"İşte lezzetli Hint mutfağı tarifleri:,1. Butter Chicken: Malzemeler: 500g tavuk göğsü, 2 su bardağı domates sosu, 1 su bardağı krema, 2 yemek kaşığı tereyağı, garam masala, köri. Yapılışı: Tavuğu marine edip pişirin. Domates sosu, krema ve baharatlarla sos hazırlayın. Tavuğu sosla birleştirip 10 dakika pişirin. 2. Naan Ekmeği: Malzemeler: 3 su bardağı un, 1 su bardağı yoğurt, 1 yemek kaşığı maya, 1 yemek kaşığı şeker, tuz. Yapılışı: Hamuru yoğurun, 1 saat mayalandırın. Küçük toplar yapıp açın. Tava veya fırında pişirin."
WorldCuisine,İtalyan mutfağından başka tarifler verir misin,"İşte daha fazla İtalyan mutfağı tarifleri:,1. Risotto: Malzemeler: Arborio pirinci, beyaz şarap, parmesan, tereyağı, soğan, et suyu. Yapılışı: Pirinci tereyağı ve soğanla kavurun. Beyaz şarap ekleyip alkolü uçurun. Sıcak et suyunu yavaşça ekleyip karıştırarak pişirin. Parmesan ile servis edin. 2. Lasagna: Malzemeler: Makarna, kıymalı sos, beşamel sos, kaşar peyniri. Yapılışı: Kat kat makarna, kıymalı sos ve beşamel sos dizin. Üzerine kaşar peyniri rendeleyip fırında pişirin."
WorldCuisine,Fransız mutfağından tarifler verir misin,"İşte lezzetli Fransız mutfağı tarifleri:,1. Ratatouille: Malzemeler: Patlıcan, kabak, biber, domates, soğan, sarımsak, otlar. Yapılışı: Sebzeleri büyük parçalar halinde doğrayın. Zeytinyağında kısık ateşte pişirin. Taze otlar ekleyin. 2. Coq au Vin: Malzemeler: Tavuk, kırmızı şarap, mantar, soğan, bacon, sarımsak. Yapılışı: Tavuğu şarap ve et suyunda pişirin. Mantar ve sebzeleri ekleyin. Taze otlarla servis edin."
WorldCuisine,İspanyol mutfağından tarifler verir misin,"İşte lezzetli İspanyol mutfağı tarifleri:,1. Paella: Malzemeler: Pirinç, safran, tavuk, deniz ürünleri, sebzeler. Yapılışı: Safranlı pirinci, tavuk ve deniz ürünleriyle pişirin. Sebzeleri ekleyin. 2. Gazpacho: Malzemeler: Domates, salatalık, biber, sarımsak, zeytinyağı, sirke. Yapılışı: Tüm sebzeleri blendırdan geçirin. Zeytinyağı ve sirke ekleyin. Soğuk servis edin."
WorldCuisine,Hint mutfağından başka tarifler verir misin,"İşte daha fazla Hint mutfağı tarifleri:,1. Palak Paneer: Malzemeler: Ispanak, peynir, sarımsak, zencefil, krema. Yapılışı: Ispanağı püre yapın. Paneer peynirini kızartın. Sarımsak, zencefil ve krema ile karıştırın. 2. Samosa: Malzemeler: Un, patates, bezelye, baharatlar. Yapılışı: Hamuru açın, içine patates ve bezelye harcı koyun. Üçgen şeklinde katlayıp kızartın."
WorldCuisine,Japon mutfağından başka tarifler verir misin,"İşte daha fazla Japon mutfağı tarifleri:,1. Miso Çorbası: Malzemeler: Su, miso paste, tofu, wakame yosunu, yeşil soğan. Yapılışı: Suyu kaynatın, miso paste ekleyin. Tofu ve yosunu ekleyip 5 dakika pişirin. 2. Ramen: Malzemeler: Erişte, et suyu, yumurta, sebzeler, et. Yapılışı: Erişteyi haşlayın. Et suyunda pişirin. Üzerine yumurta ve sebzeleri ekleyin."
WorldCuisine,Meksika mutfağından başka tarifler verir misin,"İşte daha fazla Meksika mutfağı tarifleri:,1. Enchiladas: Malzemeler: Mısır tortillas, tavuk, peynir, acı sos. Yapılışı: Tortillaları sosla ıslatın, içine tavuk ve peynir koyun. Rulo yapıp fırında pişirin. 2. Chiles Rellenos: Malzemeler: Biber, peynir, yumurta, un. Yapılışı: Biberleri kızartın, içine peynir doldurun. Yumurta ve una bulayıp kızartın."
WorldCuisine,Fas mutfağından tarifler verir misin,"İşte lezzetli Fas mutfağı tarifleri:,1. Tagine: Malzemeler: Et, kurutulmuş meyveler, baharatlar, sebzeler. Yapılışı: Et ve sebzeleri baharatlı sosla pişirin. Kurutulmuş meyveleri ekleyin. 2. Couscous: Malzemeler: İrmik, sebzeler, et, baharatlar. Yapılışı: İrmiği buharda pişirin. Sebzeler ve eti baharatlarla pişirip üzerine ekleyin."
WorldCuisine,Vietnam mutfağından tarifler verir misin,"İşte lezzetli Vietnam mutfağı tarifleri:,1. Pho: Malzemeler: Et suyu, pirinç eriştesi, taze otlar, sığır eti. Yapılışı: Et suyunu baharatlarla kaynatın. Erişteyi haşlayın. Üzerine et ve otları ekleyin. 2. Bánh Mì: Malzemeler: Baguette, turşu sebzeler, domuz eti, pate, kişniş. Yapılışı: Ekmeği açın, içine et, pate ve sebzeleri koyun. Kişnişle süsleyin."
WorldCuisine,Kore mutfağından tarifler verir misin,"İşte lezzetli Kore mutfağı tarifleri:,1. Bibimbap: Malzemeler: Pirinç, sebzeler, sığır eti, yumurta, acı biber ezmesi. Yapılışı: Pirinç üzerine sebzeleri ve eti dizin. Yumurta ve acı biber ezmesi ekleyin. 2. Bulgogi: Malzemeler: Sığır eti, soya sosu, şeker, sarımsak, susam yağı. Yapılışı: Eti marine edin. Izgarada veya tavada pişirin."
WorldCuisine,Türk mutfağından başka tarifler verir misin,"İşte daha fazla Türk mutfağı tarifleri:,1. Karnıyarık: Malzemeler: Patlıcan, biber, soğan, domates. Yapılışı: Patlıcanları kızartın, içini oyup kıymalı harç doldurun. 2. Mantı: Malzemeler: Un, yumurta, et, soğan, yoğurt. Yapılışı: Hamuru açıp içine harç koyun, haşlayın. 3. Lahmacun: Malzemeler: Hamur, kıyma, soğan, biber. Yapılışı: Hamuru açıp üzerine harç yayın. 4. İmam Bayıldı: Malzemeler: Patlıcan, domates, soğan, sarımsak. Yapılışı: Patlıcanları kızartıp içine harç doldurun. 5. Menemen: Malzemeler: Domates, yumurta, biber, soğan. Yapılışı: Sebzeleri kavurup yumurta ekleyin. 6. Simit: Malzemeler: Un, susam, su, tuz. Yapılışı: Hamuru halka şeklinde yapıp susama bulayın. 7. Kurabiye: Malzemeler: Un, şeker, tereyağı, yumurta. Yapılışı: Hamuru yoğurup şekillendirin. 8. Baklava: Malzemeler: Yufka, ceviz, şerbet, tereyağı. Yapılışı: Kat kat yufka ve ceviz dizin. 9. Döner: Malzemeler: Et, baharat, yoğurt, lavaş. Yapılışı: Eti pişirip dilimleyin. 10. Pilav: Malzemeler: Pirinç, tereyağı, su, tuz. Yapılışı: Pirinci kavurup suda pişirin."
WorldCuisine,Türk mutfağından çorba tarifleri verir misin,"İşte lezzetli Türk çorba tarifleri:,1. Tavuk Çorbası: Malzemeler: Tavuk, sebze, makarna. Yapılışı: Kemikli tavuk ve sebzeleri kaynatın. 2. Ayran Aşı Çorbası: Malzemeler: Yoğurt, nohut, bulgur, nane. Yapılışı: Yoğurdu çırpıp nohut ve bulgur ekleyin. 3. Mercimek Çorbası: Malzemeler: Kırmızı mercimek, soğan, havuç, un. Yapılışı: Mercimeği sebzelerle pişirin. 4. Tarhana Çorbası: Malzemeler: Tarhana, domates, soğan, nane. Yapılışı: Tarhanayı sebzelerle pişirin."
WorldCuisine,Türk mutfağından börek tarifleri verir misin,"İşte lezzetli Türk börek tarifleri:,1. Su Böreği: Malzemeler: Yufka, peynir, maydanoz, yumurta. Yapılışı: Yufkaları yağlayıp iç malzeme koyun. 2. Ispanaklı Börek: Malzemeler: Yufka, peynir, ıspanak, tereyağı. Yapılışı: Yufkaya ıspanak ve peynir koyup sarın. 3. Kol Böreği: Malzemeler: Yufka, peynir, maydanoz. Yapılışı: Yufkayı rulo yapıp içine harç koyun. 4. Sigara Böreği: Malzemeler: Yufka, peynir, maydanoz. Yapılışı: Yufkayı sigara şeklinde sarın."
WorldCuisine,Türk mutfağından dolma tarifleri verir misin,"İşte lezzetli Türk dolma tarifleri:,1. Yaprak Sarma: Malzemeler: Üzüm yaprağı, pirinç, kıyma, baharatlar. Yapılışı: Yaprakları yumuşatın. Pirinç ve kıyma harcı hazırlayın. Yapraklara sarıp pişirin. 2. Biber Dolması: Malzemeler: Biber, pirinç, kıyma, soğan, baharatlar. Yapılışı: Biberleri oyun. İç harcı hazırlayıp doldurun. Zeytinyağında pişirin."
WorldCuisine,Türk mutfağından kebap tarifleri verir misin,"İşte lezzetli Türk kebap tarifleri:,1. Adana Kebap: Malzemeler: Kıyma, soğan, biber, baharatlar. Yapılışı: Kıymayı baharatlarla yoğurun. Şişlere dizip mangalda pişirin. 2. İskender Kebap: Malzemeler: Döner, pilav, yoğurt, domates sosu. Yapılışı: Döner eti dilimleyin. Pilav üzerine yerleştirin. Yoğurt ve domates sosu ekleyin."
WorldCuisine,Türk mutfağından tatlı tarifleri verir misin,"İşte lezzetli Türk tatlı tarifleri:,1. Baklava: Malzemeler: Yufka, ceviz, şerbet, tereyağı. Yapılışı: Yufkaları yağlayın, aralarına ceviz serpin. Şerbet döküp fırında pişirin. 2. Sütlaç: Malzemeler: Pirinç, süt, şeker, vanilya. Yapılışı: Pirinci sütle pişirin. Şeker ve vanilya ekleyin. Fırında üzerini kızartın."
WorldCuisine,Türk mutfağından salata tarifleri verir misin,"İşte lezzetli Türk salata tarifleri:,1. Közlenmiş Patlıcan Salatası: Malzemeler: Patlıcan, domates, soğan, zeytinyağı. Yapılışı: Patlıcanları közleyin. Kabuklarını soyup doğrayın. Domates ve soğanla karıştırın. 2. Kısır: Malzemeler: Bulgur, domates, salatalık, nane, limon. Yapılışı: Bulguru ıslatın. Sebzeleri doğrayıp karıştırın. Limon suyu ekleyin."
WorldCuisine,Türk mutfağından pilav tarifleri verir misin,"İşte lezzetli Türk pilav tarifleri:,1. Etli Pilav: Malzemeler: Pirinç, et, soğan, biber. Yapılışı: Eti kavurun. Pirinci ekleyip suyunu çekene kadar pişirin. 2. Bulgur Pilavı: Malzemeler: Bulgur, soğan, domates, biber. Yapılışı: Soğanı kavurun. Bulguru ekleyip suyunu çekene kadar pişirin."
